,Set Name,Year,Auth,PR1,FR1.5,GOOD2,VG3,VG‑EX4,EX5,EX‑MT6,NM7,NM‑MT8,MINT9,GEM‑MT10,Total
146,Panini Donruss Mr.3000,2023,0,0,–,0,0,0,0,0,2,3,23,21,49
147,Panini Donruss Naturals,2023,0,0,–,0,0,0,0,1,0,8,5,1,15
148,Panini Donruss Optic Rated Prospect Signatures,2023,1,0,–,0,0,0,0,6,9,54,270,212,552
149,Panini Donruss Optic Retro 1990 Signatures,2023,0,0,–,0,0,0,0,4,6,25,89,43,167
150,Panini Donruss Pennants,2023,0,0,–,0,0,0,0,0,0,0,2,6,8
151,Panini Donruss Retro 1990 Materials,2023,0,0,–,0,0,0,1,4,9,8,4,1,27
152,Panini Donruss Retro 1990 Signatures,2023,0,0,–,0,0,0,0,2,4,27,35,11,79
153,Panini Donruss Signature Series,2023,0,0,–,0,0,0,0,0,5,11,40,29,85
154,Panini Donruss Superstar Scribbles,2023,0,0,–,0,0,0,0,1,0,2,6,5,14
155,Panini Donruss Superstar Skylines,2023,0,0,–,0,0,0,0,0,1,2,7,2,12
156,Panini Donruss the Mick,2023,0,0,–,0,0,0,0,0,0,1,3,10,14
157,Panini Donruss Unleashed,2023,0,0,–,0,0,0,0,5,8,38,150,233,434
158,Panini Donruss Whammy,2023,0,0,–,0,0,0,0,1,0,3,22,61,87
159,Panini Immaculate Collection,2023,0,0,–,0,0,0,0,0,6,3,1,0,10
160,Panini Immaculate Collection Clearly Immaculate Material Signatures,2023,0,0,–,0,0,0,0,2,1,3,1,0,7
161,Panini Immaculate Collection Clearly Immaculate Signatures,2023,0,0,–,0,0,0,0,0,0,2,0,0,2
162,Panini Immaculate Collection Dual Material Signatures,2023,0,0,–,0,0,0,0,1,0,1,0,0,2
163,Panini Immaculate Collection Hall of Fame Jumbo Materials,2023,0,0,–,0,0,0,0,1,0,0,0,0,1
164,Panini Immaculate Collection Immaculate Clear Signature Materials,2023,1,0,–,0,0,0,0,0,0,0,0,0,1
165,Panini Immaculate Collection Immaculate Material Autographs,2023,0,0,–,0,0,0,0,0,0,2,0,0,2
166,Panini Immaculate Collection Immaculate Material Signatures,2023,0,0,–,0,0,0,0,0,0,0,0,1,1
167,Panini Immaculate Collection Immaculate Moments Signatures,2023,0,0,–,0,0,0,0,0,0,1,0,0,1
168,Panini Immaculate Collection Jersey Numbers Materials,2023,0,0,–,0,0,0,0,1,1,1,0,0,3
169,Panini Immaculate Collection Jumbo Bat Signatures,2023,0,0,–,0,0,0,0,0,0,1,0,0,1
170,Panini Immaculate Collection Jumbo Relics,2023,0,0,–,0,0,0,0,1,0,1,0,1,3
171,Panini Immaculate Collection Jumbo Socks Signatures,2023,0,0,–,0,0,0,0,1,0,0,0,0,1
172,Panini Immaculate Collection Legends Materials,2023,0,0,–,0,0,0,0,0,0,1,2,1,4
173,Panini Immaculate Collection Materials Prime,2023,0,0,–,0,0,0,0,0,0,0,1,0,1
